Company,Rank,Year,Industry,Headquarters_state,Revenue_mil,profit_mil
AMR Corporation,53,1996,Airlines,TX,16910,3043.8
Atlantic Richfield Company,54,1996,Petroleum Refining,CA,16739,3013.02
"Merck & Co., Inc.",55,1996,Pharmaceuticals,NJ,16681.1,3002.598
The Travelers Group,56,1996,Insurance: Property and Casualty (Stock),NY,16583,2984.94
"Supervalu, Inc.",57,1996,Wholesalers,MN,16563.8,2981.484
"Safeway, Inc.",58,1996,Food & Drug Stores,CA,16397.5,1803.725
NationsBank Corporation,59,1996,Commercial Banks,NC,16298,1792.78
Intel Corporation,60,1996,"Electronics, Electrical Equipment",CA,16202,1782.22
New York Life Insurance Company,61,1996,"Insurance: Life, Health (Mutual)",NY,16201.7,1782.187
Minnesota Mining & Manufacturing Company,62,1996,"Scientific, Photographic and Control Equipment",MN,16105,1771.55
"Caterpillar, Inc.",63,1996,Industrial and Farm Equipment,IL,16072,1767.92
RJR Nabisco Holdings Corporation,64,1996,Food,NY,16008,1760.88
American Express Company,65,1996,Diversified Financials,NY,15841,1742.51
"The Home Depot, Inc.",66,1996,Specialty Retailers,GA,15470.4,1701.744
Eastman Kodak Company,67,1996,"Scientific, Photographic and Control Equipment",NY,15269,1679.59
MCI Communications Corporation,68,1996,Telecommunications,DC,15265,1679.15
morg,69,1996,General Merchandisers,OH,15048.5,1655.335
UAL Corporation,70,1996,Airlines,IL,14943,1643.73
Chemical Banking Corporation,71,1996,Commercial Banks,NY,14884,1637.24
Compaq Computer Corporation,72,1996,"Computers, Office Equipment",TX,14755,1623.05
AlliedSignal Inc.,73,1996,Aerospace & Defense,NJ,14346,1578.06
McDonnell Douglas Corporation,74,1996,Aerospace & Defense,MO,14332,1576.52
Georgia-Pacific Corporation,75,1996,Forest and Paper Products,GA,14292,1572.12
J.P. Morgan & Co. Inc.,76,1996,Commercial Banks,NY,13838,1522.18
Digital Equipment Corporation,77,1996,"Computers, Office Equipment",MA,13813.1,1519.441
Kimberly-Clark Corporation,78,1996,Forest and Paper Products,TX,13788.6,1516.746
Bristol-Myers Squibb Company,79,1996,Pharmaceuticals,NY,13767,1514.37
Sprint Corporation,80,1996,Telecommunications,KS,13599.5,1495.945
Phillips Petroleum Company,81,1996,Petroleum Refining,OK,13521,1487.31
"Lehman Brothers Holdings, Inc.",82,1996,X Brokerage,NY,13476,1482.36
Bell Atlantic Corporation,83,1996,Telecommunications,PA,13429.5,1477.245
Ameritech Corporation,84,1996,Telecommunications,IL,13427.8,1477.058
NYNEX Corporation,85,1996,Telecommunications,NY,13406.9,1474.759
American Home Products Corporation,86,1996,Pharmaceuticals,NJ,13376.1,1471.371
McKesson Corporation,87,1996,Wholesalers,CA,13325.5,1465.805
The Goodyear Tire & Rubber Company,88,1996,Rubber and Plastic Products,OH,13165.9,1448.249
"Texas Instruments, Inc.",89,1996,"Electronics, Electrical Equipment",TX,13128,1444.08
Rockwell International Corporation,90,1996,"Electronics, Electrical Equipment",CA,13009,1430.99
Aetna Life & Casualty Co.,91,1996,"Insurance: Life, Health (Stock)",CT,12978,1427.58
Archer Daniels Midland Company,92,1996,Food,IL,12671.9,1393.909
"IBP, Inc.",94,1996,Food,NE,12667.6,1393.436
Alcoa,95,1996,Metals,PA,12654.9,2277.882
SBC Communications Inc.,96,1996,Food & Drug Stores,ID,12585,2265.3
"Anheuser-Busch Companies, Inc.",97,1996,Beverages,MO,12325.5,2218.59
"Delta Air Lines, Inc.",98,1996,Airlines,GA,12194,2194.92
The May Department Stores Company,99,1996,General Merchandisers,MO,12187,2193.66
"ITT Hartford Group, Inc.",100,1996,Insurance: Property and Casualty (Stock),CT,12150,2187
SYSCO Corporation,101,1996,Wholesalers,TX,12118,2181.24
The Walt Disney Company,102,1996,Entertainment,CA,12112.1,2180.178
"Winn-Dixie Stores, Inc.",103,1996,Food & Drug Stores,FL,11787.8,2121.804
Weyerhaeuser Company,104,1996,Forest and Paper Products,WA,11787.7,2121.786
Viacom Inc.,105,1996,Entertainment,NY,11780.2,2120.436
"U S WEST, Inc.",106,1996,Telecommunications,CO,11746,2114.28
Raytheon Company,107,1996,"Electronics, Electrical Equipment",MA,11716,2108.88
Nationwide Insurance Enterprise,108,1996,"Insurance: Life, Health (Mutual)",OH,11702.4,2106.432
Teachers Insurance & Annuity Association of America,109,1996,"Insurance: Life, Health (Mutual)",NY,11646.2,2096.316
Melville Corporation,110,1996,Specialty Retailers,NY,11516.4,2072.952
Northwestern Mutual Life Insurance Company,111,1996,"Insurance: Life, Health (Mutual)",WI,11483.3,2066.994
Chase Manhattan Corporation,112,1996,Commercial Banks,NY,11336,2040.48
"Ashland, Inc.",113,1996,Petroleum Refining,KY,11251.1,2025.198
"Apple Computer, Inc.",114,1996,"Computers, Office Equipment",CA,11062,1991.16
"WMX Technologies, Inc.",115,1996,Waste Management,IL,10979.3,1976.274
Morgan Stanley Group Inc.,116,1996,Diversified Financials,NY,10949,1970.82
Federal Home Loan Mortgage Corporation,117,1996,Diversified Financials,VA,10915,1964.7
First Chicago NBD Corporation,118,1996,Commercial Banks,IL,10681,1922.58
First Union Corporation,119,1996,Commercial Banks,NC,10582.9,1904.922
The Principal Mutual Life Insurance Company,120,1996,"Insurance: Life, Health (Mutual)",IA,10561,1900.98
CSX Corporation,121,1996,Railroads,VA,10504,1890.72
Occidental Petroleum Corporation,122,1996,Chemicals,CA,10423,1876.14
Walgreen Co.,123,1996,Food & Drug Stores,IL,10395.1,1871.118
The Coastal Corporation,125,1996,Petroleum Refining,TX,10223.4,1840.212
"TRW, Inc.",126,1996,Motor Vehicles & Parts,OH,10172.4,1831.032
"Pfizer, Inc.",127,1996,Pharmaceuticals,NY,10021.4,1803.852
Emerson Electric Company,128,1996,"Electronics, Electrical Equipment",MO,10012.9,1802.322
Abbott Laboratories,129,1996,Pharmaceuticals,IL,10012.2,1802.196
"Textron, Inc.",130,1996,Aerospace & Defense,RI,9973,1795.14
Alco Standard Corp.,131,1996,Wholesalers,PA,9891.8,1780.524
"Baxter International, Inc.",133,1996,"Scientific, Photographic and Control Equipment",IL,9730,1751.4
Pacific Gas & Electric Company,134,1996,Utilities: Gas and Electric,CA,9621.8,1347.052
Westinghouse Electric Corporation,135,1996,"Electronics, Electrical Equipment",PA,9605,1344.7
"Publix Super Markets, Inc.",136,1996,Food & Drug Stores,FL,9470.7,1325.898
Deere & Company,137,1996,Specialty Retailers,NJ,9426.9,1319.766
Federal Express Corporation,138,1996,"Mail, Package, and Freight Delivery",TN,9392.1,1314.894
Liberty Mutual Insurance Group,139,1996,Insurance: Property and Casualty (Mutual),MA,9308,1303.12
Fluor Corporation,140,1996,Engineering & Construction,CA,9301.4,1302.196
Enron Corp.,141,1996,Pipelines,TX,9189,1286.46
The Southern Company,142,1996,Utilities: Gas and Electric,GA,9180,1285.2
"Northwest Airlines, Inc.",143,1996,Airlines,MN,9084.9,1271.886
Pacific Telesis Group,144,1996,Telecommunications,CA,9042,1265.88
Banc One Corporation,145,1996,Commercial Banks,OH,8970.9,1255.926
Monsanto Company,146,1996,Chemicals,MO,8962,1254.68
Marriott International,147,1996,"Hotels, Casinos, Resorts",DC,8960.7,1254.498
Union Pacific Corporation,148,1996,Railroads,PA,8942,1251.88
"Salomon, Inc.",149,1996,X Brokerage,NY,8933,1250.62
"Tenneco, Inc.",150,1996,Motor Vehicles & Parts,CT,8899,1245.86
"ITT Industries, Inc.",151,1996,Motor Vehicles & Parts,NY,8884,1243.76
Bankers Trust New York Corporation,152,1996,Commercial Banks,NY,8600,1204
Bergen Brunswig Corporation,153,1996,Wholesalers,CA,8447.6,1182.664
"CPC International, Inc.",154,1996,Food,NJ,8431.5,1180.41
Edison International,155,1996,Utilities: Gas and Electric,CA,8405,1176.7
"General Mills, Inc.",156,1996,Food,MN,8393.6,1175.104
"Sun Company, Inc.",157,1996,Petroleum Refining,PA,8370,1171.8
Colgate-Palmolive Company,158,1996,"Soaps, Cosmetics",NY,8358.2,1170.148
Whirlpool Corporation,159,1996,"Electronics, Electrical Equipment",MI,8347,1168.58
"Johnson Controls, Inc.",160,1996,Motor Vehicles & Parts,WI,8330.3,1166.242
Woolworth Corporation,161,1996,Specialty Retailers,NY,8224,1151.36
H.J. Heinz Company,162,1996,Food,PA,8086.8,1132.152
Time Warner Inc.,163,1996,Entertainment,NY,8067,1129.38
College Retirement Equities Fund,164,1996,Diversified Financials,NY,7950.6,1113.084
"Dean Witter, Discover & Co.",165,1996,Diversified Financials,NY,7934.4,1110.816
Fleet Financial Group,166,1996,Commercial Banks,MA,7919.4,1108.716
"The Limited, Inc.",167,1996,Specialty Retailers,OH,7881.4,1103.396
"Cardinal Health, Inc.",168,1996,Wholesalers,OH,7806.1,1092.854
Dana Corporation,169,1996,Motor Vehicles & Parts,OH,7794.5,1091.23
Norwest Corporation,170,1996,Commercial Banks,MN,7582.3,1061.522
Eli Lilly & Company,171,1996,Pharmaceuticals,IN,7535.4,1054.956
Unocal Corporation,172,1996,Petroleum Refining,CA,7527,1053.78
Amerada Hess Corporation,173,1996,Petroleum Refining,NY,7524.8,1053.472
"USAir Group, Inc.",174,1996,Airlines,VA,7474.3,1046.402
Stone Container Corporation,175,1996,Forest and Paper Products,IL,7351.2,1029.168
Tosco Corporation,176,1996,Petroleum Refining,CT,7284.1,1019.774
Campbell Soup Company,177,1996,Food,NJ,7278,1018.92
"Farmland Industries, Inc.",178,1996,Food,MO,7256.9,1015.966
Ralston Purina Company,180,1996,Food,MO,7210.3,1009.442
General Re Corporation,181,1996,Insurance: Property and Casualty (Stock),CT,7210.2,1009.428
"AFLAC, Inc.",182,1996,"Insurance: Life, Health (Stock)",GA,7190.6,1006.684
"Pharmacia & Upjohn, Inc.",183,1996,Pharmaceuticals,DE,7094.6,993.244
Reynolds Metals Company,184,1996,Specialty Retailers,NC,7075.4,990.556
"PPG Industries, Inc.",185,1996,Chemicals,PA,7057.7,988.078
Warner-Lambert Company,186,1996,Pharmaceuticals,NJ,7039.8,985.572
Kellogg Company,187,1996,Food,MI,7003.7,980.518
Champion International Corporation,188,1996,Forest and Paper Products,CT,6972,976.08
Unicom Corporation,189,1996,Utilities: Gas and Electric,IL,6910,967.4
"Tele-Communications, Inc.",190,1996,Telecommunications,CO,6851,959.14
Eaton Corporation,191,1996,Motor Vehicles & Parts,OH,6821.7,955.038
Northrop Grumman Corporation,192,1996,Aerospace & Defense,CA,6818,954.52
Massachusetts Mutual Life Insurance,193,1996,"Insurance: Life, Health (Mutual)",MA,6804.1,952.574
James River Corporation of Virginia,194,1996,Forest and Paper Products,VA,6799.5,951.93
The Gillette Company,195,1996,Metal Products,MA,6794.7,951.258
"Coca-Cola Enterprises, Inc.",196,1996,Beverages,GA,6773,948.22
"Honeywell, Inc.",197,1996,"Scientific, Photographic and Control Equipment",MN,6731.3,942.382
Levi Strauss Associates,198,1996,Apparel,CA,6707.6,939.064
Lincoln National Corporation,199,1996,"Insurance: Life, Health (Stock)",IN,6633.3,928.662
United Services Automobile Association,200,1996,Insurance: Property and Casualty (Stock),TX,6610.9,925.526
R.R. Donnelley & Sons,201,1996,"Publishing, Printing",IL,6511.8,911.652
American General Corporation,202,1996,Diversified Financials,TX,6495,909.3
Unisys Corporation,203,1996,Computer And Data Services,PA,6460.4,904.456
"Consolidated Edison Company of New York, Inc.",204,1996,Utilities: Gas and Electric,NY,6401.5,896.21
PNC Bank Corp.,205,1996,Commercial Banks,PA,6389.5,894.53
The Quaker Oats Company,206,1996,Food,IL,6365.2,891.128
ITT Corporation,207,1996,"Hotels, Casinos, Resorts",NY,6346,888.44
Navistar International Corporation,208,1996,Motor Vehicles & Parts,IL,6342,887.88
Entergy Corporation,209,1996,Utilities: Gas and Electric,LA,6274.4,878.416
"Burlington Northern Santa Fe, Corp.",210,1996,Railroads,TX,6183,865.62
Guardian Life Insurance Co. of America,211,1996,"Insurance: Life, Health (Mutual)",NY,6172.3,864.122
"Public Service Enterprise Group, Inc.",212,1996,Utilities: Gas and Electric,NJ,6164.2,862.988
Transamerica Corporation,213,1996,"Insurance: Life, Health (Stock)",CA,6101.1,854.154
"Dillard Department Stores, Inc.",214,1996,General Merchandisers,AR,6097.1,853.594
Chubb Corporation,215,1996,Insurance: Property and Casualty (Stock),NJ,6089.2,852.488
KeyCorp,216,1996,Commercial Banks,OH,6054,847.56
"Associated Insurance Companies,Inc.",217,1996,"Insurance: Life, Health (Stock)",IN,6037.5,845.25
Halliburton Company,218,1996,Engineering & Construction,TX,5951.3,833.182
Microsoft Corporation,219,1996,Computer And Data Services,WA,5937,831.18
Arrow Electronics,220,1996,Wholesalers,NY,5919.4,828.716
"American Brands, Inc.",221,1996,Tobacco,CT,5904.9,826.686
"Sun Microsystems, Inc.",222,1996,"Computers, Office Equipment",CA,5901.9,826.266
Union Carbide Corporation,223,1996,Chemicals,CT,5888,824.32
John Hancock Mutual Life Insurance Company,224,1996,"Insurance: Life, Health (Mutual)",MA,5845.5,818.37
Tandy Corporation,225,1996,Specialty Retailers,TX,5839.1,817.474
"Continental Airlines, Inc.",226,1996,Airlines,TX,5825,815.5
"Merisel, Inc.",227,1996,Wholesalers,CA,5801.8,812.252
W.R. Grace & Co.,228,1996,Chemicals,FL,5784.2,809.788
"Browning-Ferris Industries, Inc.",229,1996,Waste Management,TX,5779.4,809.116
Ingersoll-Rand Company,230,1996,Industrial and Farm Equipment,NJ,5729,802.06
"American Electric Power Company, Inc.",231,1996,Utilities: Gas and Electric,OH,5670.3,793.842
United HealthCare Corporation,232,1996,Health Care,MN,5670,793.8
Texas Utilities Company,233,1996,Utilities: Gas and Electric,TX,5638.7,789.418
"Dresser Industries, Inc.",234,1996,Industrial and Farm Equipment,TX,5628.7,788.018
ARAMARK Corporation,235,1996,Food Services,PA,5600.6,784.084
"FPL Group, Inc.",236,1996,Utilities: Gas and Electric,FL,5592.5,782.95
"Circuit City Stores, Inc.",237,1996,Specialty Retailers,VA,5582.9,781.606
The Black & Decker Corporation,238,1996,Industrial and Farm Equipment,MD,5566.2,779.268
"Tyson Foods, Inc.",239,1996,Food,AR,5511.2,771.568
Loral Corporation,240,1996,"Electronics, Electrical Equipment",NY,5484.4,767.816
Manpower Inc.,241,1996,Temporary Help,WI,5484.2,767.788
Dun & Bradstreet Corporation (The),242,1996,Computer And Data Services,CT,5415.1,758.114
Bank of Boston Corporation,243,1996,Commercial Banks,MA,5410.6,757.484
"The St. Paul Companies, Inc.",244,1996,Insurance: Property and Casualty (Stock),MN,5409.6,757.344
Wells Fargo & Company,245,1996,Commercial Banks,CA,5409,757.26
"Corning, Inc.",246,1996,"Building Materials, Glass",NY,5346.1,748.454
The Bank of New York Company,247,1996,Commercial Banks,NY,5327,745.78
"Paine Webber Group, Inc.",248,1996,X Brokerage,NY,5320.1,744.814
"Office Depot, Inc.",249,1996,Specialty Retailers,FL,5313.2,743.848
Dell Computer Corporation,250,1996,"Computers, Office Equipment",TX,5296,741.44
"Consolidated Freightways, Inc.",251,1996,Trucking,CA,5281.1,739.354
Genuine Parts Company,252,1996,Wholesalers,GA,5261.9,736.666
"Cummins Engine Company, Inc.",253,1996,Industrial and Farm Equipment,IN,5245,734.3
"AMP , Inc.",254,1996,"Electronics, Electrical Equipment",PA,5227.2,731.808
"American Standard Companies, Inc.",255,1996,Industrial and Farm Equipment,NJ,5221.5,731.01
The Mead Corporation,256,1996,Forest and Paper Products,OH,5179.4,725.116
FoxMeyer Health Corporation,257,1996,Wholesalers,TX,5177.1,724.794
Ryder System,258,1996,"Automotive Retailing, Services",FL,5167.4,723.436
Schering-Plough Corporation,259,1996,Pharmaceuticals,NJ,5150.6,721.084
"Household International, Inc.",260,1996,Diversified Financials,IL,5144.4,720.216
Case Corporation,261,1996,Industrial and Farm Equipment,WI,5105,714.7
Best Buy Co. Inc.,262,1996,Specialty Retailers,MN,5079.6,711.144
"The Vons Companies, Inc.",263,1996,Food & Drug Stores,CA,5070.7,709.898
VF Corporation,264,1996,Apparel,PA,5062.3,708.722
Boise Cascade Corporation,265,1996,Forest and Paper Products,ID,5057.7,708.078
"Crown Cork & Seal Company, Inc.",266,1996,Metal Products,PA,5053.8,707.532
Eastman Chemical Company,267,1996,Chemicals,TN,5040,705.6
Eckerd Corporation,268,1996,Food & Drug Stores,FL,4997.1,699.594
PanEnergy Corp.,269,1996,Pipelines,TX,4967.5,695.45
Lyondell Petrochemical Company,270,1996,Chemicals,TX,4936,691.04
"Cooper Industries, Inc.",271,1996,"Electronics, Electrical Equipment",TX,4885.9,684.026
Bethlehem Steel Corporation,272,1996,Metals,PA,4867.5,681.45
Paccar Inc.,273,1996,Motor Vehicles & Parts,WA,4848.2,678.748
First Interstate Bancorp,274,1996,Commercial Banks,CA,4827.5,675.85
"Inland Steel Industries, Inc.",275,1996,Metals,IL,4781.5,669.41
Masco,276,1996,Metal Products,MI,4779,669.06
"Nike, Inc.",277,1996,Wholesalers,OR,4760.8,666.512
Lear Seating Corporation,278,1996,Motor Vehicles & Parts,MI,4714.4,660.016
"Humana, Inc.",279,1996,Health Care,KY,4702,658.28
Duke Power Company,280,1996,Utilities: Gas and Electric,NC,4676.7,654.738
Bindley Western Industries,281,1996,Wholesalers,IN,4672.5,654.15
AmeriSource Health Corporation,282,1996,Wholesalers,PA,4668.9,653.646
Norfolk Southern Corporation,283,1996,Railroads,VA,4668,653.52
"Thrifty Payless Holdings, Inc.",284,1996,Food & Drug Stores,OR,4658.8,652.232
"Dominion Resources, Inc.",285,1996,Utilities: Gas and Electric,VA,4651.7,651.238
FMC Corporation,286,1996,Chemicals,IL,4566.6,639.324
"Seagate Technology, Inc.",287,1996,"Computers, Office Equipment",CA,4539.6,635.544
Tyco International Ltd.,288,1996,Metal Products,NH,4534.7,634.858
Rite Aid Corporation,289,1996,Food & Drug Stores,PA,4533.9,634.746
Mellon Bank Corporation,290,1996,Commercial Banks,PA,4514,631.96
"Avon Products, Inc.",291,1996,"Soaps, Cosmetics",NY,4492.1,628.894
"Berkshire Hathaway, Inc.",292,1996,Diversified Financials,NE,4487.7,628.278
"The TJX Companies, Inc.",293,1996,Specialty Retailers,MA,4447.5,622.65
"Revco D.S., Inc.",294,1996,Food & Drug Stores,OH,4431.9,620.466
H.F. Ahmanson,295,1996,Savings Institutions,CA,4397.5,615.65
"The Gap, Inc.",296,1996,Specialty Retailers,CA,4395.3,615.342
Houston Industries Incorporated,297,1996,Utilities: Gas and Electric,TX,4388.4,614.376
Avnet,298,1996,Wholesalers,NY,4300,602
The LTV Corporation,299,1996,Metals,OH,4283.2,599.648
Union Camp Corporation,300,1996,Forest and Paper Products,NJ,4211.7,589.638
PECO Energy Company,301,1996,Utilities: Gas and Electric,PA,4186.2,586.068
Phelps Dodge Corporation,302,1996,Metals,AZ,4185.4,585.956
Supermarkets General Holdings Corporation,303,1996,Food & Drug Stores,NJ,4182.1,585.494
"Dole Food Company, Inc.",304,1996,Food,CA,4152.8,581.392
"Illinois Tool Works, Inc.",305,1996,Metal Products,IL,4152.2,581.308
Mutual of Omaha Insurance Companies,306,1996,"Insurance: Life, Health (Mutual)",NE,4134.3,578.802
Unum Corp.,307,1996,"Insurance: Life, Health (Stock)",ME,4122.9,577.206
"The Stop & Shop Companies, Inc.",308,1996,Food & Drug Stores,MA,4116.1,576.254
"Nordstrom, Inc.",309,1996,General Merchandisers,WA,4113.5,575.89
Jefferson Smurfit Corporation,310,1996,Forest and Paper Products,MO,4093,573.02
First Data Corporation,311,1996,Computer And Data Services,NJ,4081.2,571.368
"Chiquita Brands International, Inc.",312,1996,Food,OH,4026.6,563.724
"Service Merchandise Company, Inc.",313,1996,Specialty Retailers,TN,4018.5,562.59
"Gannett Company, Inc.",314,1996,"Publishing, Printing",VA,4006.7,560.938
"Waban, Inc.",315,1996,Specialty Retailers,MA,3978.4,556.976
Niagara Mohawk Power Corporation,316,1996,Utilities: Gas and Electric,NY,3917.3,548.422
Student Loan Marketing Association,317,1996,Diversified Financials,DC,3916.6,548.324
FHP International Corporation,318,1996,Health Care,CA,3909.4,547.316
"Air Products & Chemicals, Inc.",319,1996,Chemicals,PA,3891,544.74
CMS Energy Corporation,320,1996,Utilities: Gas and Electric,MI,3890,544.6
Rohm & Haas Company,321,1996,Chemicals,PA,3884,543.76
"Willamette Industries, Inc.",322,1996,Forest and Paper Products,OR,3873.6,542.304
"Pitney Bowes, Inc.",323,1996,"Computers, Office Equipment",CT,3861.2,540.568
General Public Utilities Corporation,324,1996,Utilities: Gas and Electric,NJ,3804.7,532.658
"Marsh & McLennan Companies, Inc.",325,1996,Diversified Financials,NY,3770.3,527.842
"Owens-Illinois, Inc.",326,1996,"Building Materials, Glass",OH,3763.2,526.848
Wachovia Corporation,327,1996,Commercial Banks,NC,3755.4,525.756
"The Bear Stearns Companies, Inc.",328,1996,X Brokerage,NY,3753.6,525.504
Northeast Utilities Service Company,329,1996,Utilities: Gas and Electric,CT,3749,524.86
Dover Corporation,330,1996,Industrial and Farm Equipment,NY,3745.9,524.426
"SunTrust Banks, Inc.",331,1996,Commercial Banks,GA,3740.3,523.642
Central & South West Corporation,332,1996,Utilities: Gas and Electric,TX,3735,522.9
"PacifiCare Health Systems, Inc.",333,1996,Health Care,CA,3731,522.34
Safeco Corporation,334,1996,Insurance: Property and Casualty (Stock),WA,3722.7,521.178
"Giant Food, Inc.",335,1996,Food & Drug Stores,MD,3695.6,517.384
Hershey Foods Corporation,336,1996,Food,PA,3690.7,516.698
Conrail Inc.,337,1996,Railroads,PA,3686,516.04
"Barnett Banks, Inc.",338,1996,Commercial Banks,FL,3680,515.2
"Gateway 2000, Inc.",339,1996,"Computers, Office Equipment",SD,3676.3,514.682
NGC Corporation,340,1996,Pipelines,TX,3665.9,513.226
"WorldCom, Inc.",341,1996,Telecommunications,MS,3640,509.6
"Mattel, Inc.",342,1996,"Toys, Sporting Goods",CA,3638.8,509.432
DTE Energy Company,343,1996,Utilities: Gas and Electric,MI,3635.5,508.97
American Financial Group,344,1996,Insurance: Property and Casualty (Stock),OH,3629.6,508.144
Owens-Corning,345,1996,"Building Materials, Glass",OH,3612,505.68
The Dial Corp.,346,1996,"Soaps, Cosmetics",AZ,3575.1,500.514
"Premark International, Inc.",347,1996,Rubber and Plastic Products,IL,3573.6,500.304
The Circle K Corporation,348,1996,Food & Drug Stores,AZ,3565.6,499.184
Great Western Financial Corporation,349,1996,Savings Institutions,CA,3556.4,497.896
General Dynamics Corporation,350,1996,Aerospace & Defense,VA,3544,496.16
The Penn Traffic Company,351,1996,Food & Drug Stores,NY,3536.6,495.124
"U.S. Healthcare, Inc.",352,1996,Health Care,PA,3517.8,492.492
"Food 4 Less Holdings, Inc.",353,1996,Food & Drug Stores,CA,3494,489.16
The Times Mirror Company,354,1996,"Publishing, Printing",CA,3491,488.74
Reebok International Ltd.,355,1996,Wholesalers,MA,3481.5,487.41
Harris Corporation,356,1996,"Electronics, Electrical Equipment",FL,3480.9,487.326
"Intelligent Electronics, Inc.",357,1996,Wholesalers,PA,3474.6,486.444
Aon Corporation,358,1996,"Insurance: Life, Health (Stock)",IL,3465.7,485.198
Nucor Corporation,359,1996,Metals,NC,3462,484.68
"Temple-Inland, Inc.",360,1996,Forest and Paper Products,TX,3460,484.4
USF&G Corporation,361,1996,Insurance: Property and Casualty (Stock),MD,3458.8,484.232
National City Corporation,362,1996,Commercial Banks,OH,3449.9,482.986
"Turner Broadcasting System, Inc.",363,1996,Entertainment,GA,3437,481.18
"Fred Meyer, Inc.",364,1996,General Merchandisers,OR,3428.7,480.018
PacifiCorp,365,1996,Utilities: Gas and Electric,OR,3400.9,476.126
Providian Corporation,366,1996,"Insurance: Life, Health (Stock)",KY,3388,474.32
Computer Sciences Corporation,367,1996,Computer And Data Services,CA,3372.5,472.15
