Own,Children,Age,Income,Rental
1,0,60,88000,0
1,1,72,82000,0
0,0,31,155000,0
0,0,50,44000,0
0,1,51,42000,0
1,1,62,162000,0
0,0,64,84000,0
1,1,48,136000,0
0,0,33,98000,0
1,1,28,62000,0
1,1,62,87000,0
1,0,79,79000,0
1,1,58,70000,0
1,1,74,46000,1
0,1,69,94000,0
1,1,74,46000,0
0,0,35,109000,0
1,1,59,87000,0
1,0,72,141000,1
1,0,75,176000,1
0,0,64,140000,0
1,1,61,60000,0
1,1,78,30000,0
1,0,54,138000,0
1,1,29,105000,1
1,0,60,150000,1
0,1,78,63000,0
1,1,45,170000,1
0,1,70,221000,0
1,1,40,142000,0
1,1,40,212000,1
1,1,59,106000,1
0,1,56,79000,0
1,1,22,188000,1
0,0,33,116000,0
1,1,24,64000,0
0,1,76,137000,0
1,0,41,72000,0
0,1,40,202000,1
0,1,69,29000,0
1,1,44,147000,1
0,1,65,222000,0
1,1,35,220000,1
1,1,34,216000,0
1,1,24,187000,1
1,1,35,144000,0
1,0,25,63000,0
1,0,27,41000,0
1,1,32,70000,0
0,1,37,34000,0
0,1,48,204000,1
1,0,23,30000,0
1,1,77,36000,0
0,1,69,129000,0
0,1,43,194000,1
0,1,80,205000,1
1,0,41,175000,0
1,0,23,122000,0
1,1,57,105000,0
1,0,55,170000,0
0,1,65,62000,0
0,1,44,180000,0
0,1,42,49000,0
0,0,52,143000,0
0,1,63,164000,1
1,1,53,98000,0
0,1,47,96000,0
0,1,37,193000,0
0,1,27,192000,1
1,1,71,90000,0
1,1,48,84000,1
1,1,31,42000,1
0,0,64,86000,0
1,1,81,226000,1
1,1,38,99000,1
1,1,73,35000,0
1,1,42,220000,1
1,1,45,63000,0
0,1,40,146000,0
1,1,68,108000,1
1,0,37,83000,0
1,1,43,150000,1
1,1,74,131000,0
1,1,46,143000,0
1,1,84,167000,0
0,1,37,160000,1
0,1,74,217000,1
1,1,58,202000,1
0,1,23,175000,1
1,1,72,130000,0
1,1,81,48000,0
1,0,68,222000,1
1,1,51,163000,1
1,0,30,52000,0
0,0,35,140000,1
0,1,38,39000,0
1,1,39,160000,1
0,1,84,67000,0
0,1,43,68000,0
0,0,40,147000,0
0,0,70,31000,0
0,1,42,45000,0
1,1,84,145000,0
0,1,44,75000,0
1,1,46,112000,1
1,1,36,141000,1
1,0,65,36000,0
1,1,81,54000,0
0,1,28,121000,0
1,1,84,43000,0
1,0,44,57000,0
1,1,73,229000,1
0,0,75,132000,1
1,1,58,65000,0
0,0,51,161000,0
0,0,62,115000,0
1,1,76,112000,1
1,0,76,135000,1
1,1,43,74000,0
0,1,41,97000,0
1,1,73,115000,1
1,1,52,97000,1
0,0,25,189000,0
0,1,78,179000,1
1,1,37,117000,1
1,1,30,171000,1
1,1,31,148000,0
0,1,39,89000,0
1,1,43,52000,1
0,1,57,73000,0
1,1,72,122000,1
1,1,78,151000,1
1,0,51,116000,0
0,0,67,174000,0
1,1,54,181000,1
1,1,75,116000,1
0,0,80,70000,0
1,1,70,79000,0
1,1,33,149000,1
0,1,65,165000,0
1,1,52,60000,1
1,1,75,39000,0
1,0,33,120000,1
1,1,54,109000,0
1,1,83,173000,1
1,1,80,145000,0
1,1,22,110000,0
1,1,83,114000,0
0,1,36,115000,0
1,0,83,191000,1
0,1,44,36000,0
1,1,66,94000,1
1,1,51,38000,0
1,1,51,201000,0
1,1,70,191000,1
0,0,75,169000,1
0,1,56,65000,1
0,1,78,38000,0
1,1,41,173000,1
0,1,28,87000,0
1,0,49,44000,0
1,1,59,190000,1
1,1,77,197000,1
0,0,35,157000,0
0,0,61,99000,1
0,1,44,48000,0
1,1,84,152000,1
1,1,71,28000,0
0,1,77,106000,0
1,0,59,139000,1
1,1,34,148000,1
1,1,31,174000,1
1,1,79,42000,0
1,1,71,205000,1
1,1,66,146000,1
0,1,36,152000,0
1,1,42,90000,1
1,1,64,103000,0
1,0,48,215000,1
1,1,23,189000,1
1,0,67,229000,1
1,1,52,34000,0
0,1,77,222000,1
1,0,85,169000,0
1,1,76,52000,0
0,1,82,183000,0
1,0,61,116000,1
1,0,47,115000,1
1,1,41,83000,0
0,1,26,39000,0
1,1,78,183000,1
1,0,50,119000,1
1,1,73,73000,0
1,1,73,201000,0
1,0,78,223000,1
1,1,74,108000,0
0,1,57,116000,0
1,1,35,230000,1
0,1,79,150000,0
0,1,24,180000,0
0,1,80,32000,0
1,0,58,81000,0
1,1,82,147000,1
1,1,43,66000,0
0,1,39,68000,0
0,1,67,210000,0
1,0,76,164000,1
1,1,57,41000,0
1,1,32,208000,1
0,1,52,92000,1
0,1,80,70000,1
1,1,75,211000,1
0,1,77,78000,0
1,0,80,176000,1
1,0,49,48000,0
1,1,33,48000,0
1,1,85,153000,0
1,0,83,74000,1
1,1,22,210000,1
1,0,43,188000,1
1,1,73,158000,1
1,1,45,203000,0
1,1,28,230000,1
1,1,41,153000,1
0,1,43,72000,1
1,0,40,203000,1
1,1,51,149000,1
1,1,75,201000,1
0,1,54,95000,1
1,1,75,200000,0
0,0,42,29000,0
0,1,32,64000,0
1,0,80,143000,1
0,1,48,29000,0
1,0,50,73000,0
1,0,38,102000,0
1,1,74,54000,0
0,1,64,167000,0
1,0,63,83000,0
0,0,42,93000,0
0,1,51,173000,0
0,0,41,71000,0
1,1,84,196000,1
0,1,85,110000,0
1,0,28,224000,1
1,0,44,222000,1
1,1,25,85000,0
0,0,80,114000,0
1,1,26,45000,0
0,1,45,56000,1
1,0,23,193000,1
0,0,43,211000,0
1,1,71,201000,1
1,1,58,219000,1
1,0,33,170000,0
1,1,74,42000,1
1,1,54,188000,0
0,0,46,218000,1
0,0,51,87000,0
0,0,68,62000,0
0,1,57,201000,1
1,0,44,49000,0
1,0,70,197000,1
1,1,51,179000,1
0,1,76,206000,0
0,0,62,169000,0
0,1,49,50000,0
1,0,76,154000,0
1,1,34,216000,1
1,1,66,74000,1
1,1,25,73000,0
0,1,55,219000,0
1,0,72,82000,1
0,1,49,54000,0
1,1,47,150000,1
0,1,51,33000,0
1,1,66,144000,1
1,1,51,217000,1
1,1,41,52000,0
0,1,60,112000,0
1,1,46,87000,0
1,1,75,169000,1
1,0,56,120000,0
0,1,27,41000,0
0,1,40,48000,0
0,0,57,58000,0
1,1,45,143000,0
0,0,46,150000,0
1,1,55,70000,0
0,1,72,211000,1
1,0,22,233000,1
1,1,52,36000,0
1,1,68,27000,0
1,1,50,44000,0
0,1,41,194000,1
0,1,77,211000,0
1,0,77,90000,0
1,1,59,85000,0
0,1,46,28000,0
1,1,22,161000,0
0,0,49,106000,0
1,1,83,139000,1
1,0,25,131000,0
1,1,47,166000,1
1,1,46,124000,1
0,0,54,189000,0
0,1,32,23000,0
1,1,66,232000,1
0,1,78,205000,0
1,1,52,117000,0
1,0,37,53000,0
1,1,40,179000,1
1,1,45,105000,0
1,1,79,46000,0
0,1,36,68000,1
0,0,34,177000,0
0,0,74,108000,1
1,1,39,163000,0
0,0,80,136000,0
1,1,54,130000,0
0,1,31,219000,1
1,1,59,237000,1
0,1,55,48000,0
1,0,54,163000,0
0,1,80,190000,0
0,1,48,152000,0
0,1,53,149000,0
0,1,29,44000,0
1,1,35,77000,1
0,1,51,135000,0
0,0,61,128000,1
0,1,58,71000,0
1,0,83,45000,0
0,1,68,88000,1
1,1,65,117000,0
0,0,43,130000,0
0,1,29,127000,0
1,0,51,154000,0
0,0,57,34000,0
1,1,59,70000,1
0,0,68,215000,0
0,0,35,63000,0
1,1,50,126000,0
0,1,69,214000,0
1,1,62,38000,0
1,0,79,125000,0
0,0,53,139000,1
0,1,37,159000,1
0,0,39,70000,0
0,0,69,197000,0
0,0,29,191000,0
0,1,23,108000,0
1,1,73,79000,1
0,1,29,221000,0
1,0,63,169000,0
0,1,65,54000,0
0,1,78,144000,0
0,1,29,187000,0
0,1,51,120000,0
1,1,56,161000,1
1,1,41,219000,1
0,0,37,168000,0
0,1,34,85000,0
0,0,42,125000,1
1,1,60,39000,0
0,1,40,124000,0
1,1,84,154000,1
1,0,84,90000,0
1,1,51,98000,0
1,1,58,95000,1
0,1,31,72000,0
0,0,52,84000,0
1,1,35,193000,1
1,0,26,190000,1
0,1,24,42000,0
1,1,53,162000,1
0,1,79,42000,1
1,1,24,82000,0
1,1,55,228000,0
1,1,69,176000,1
0,0,77,166000,0
1,1,27,171000,1
1,1,37,197000,1
1,1,75,126000,1
1,1,60,67000,0
0,0,26,94000,0
0,1,45,68000,1
0,1,43,89000,1
1,1,42,165000,1
1,1,83,85000,0
1,1,72,139000,1
0,1,37,181000,0
1,1,65,178000,1
1,1,71,209000,0
0,0,77,40000,0
1,0,24,162000,1
0,1,57,220000,0
0,0,24,77000,0
1,1,84,207000,0
1,1,31,48000,0
1,1,60,166000,1
1,1,50,107000,0
1,0,68,140000,0
1,0,32,186000,0
0,0,34,125000,1
0,1,23,134000,1
0,0,61,165000,0
1,1,66,121000,0
1,1,24,42000,0
1,1,38,217000,0
1,0,38,180000,1
1,0,34,24000,0
0,1,40,159000,1
1,1,50,51000,0
1,0,60,100000,1
0,1,33,62000,1
1,1,38,207000,1
1,1,50,56000,0
1,1,74,169000,1
1,1,37,162000,1
1,0,70,162000,1
0,0,22,122000,0
1,1,61,146000,1
0,1,23,199000,1
0,0,25,114000,0
0,1,69,69000,0
0,1,40,136000,1
1,1,48,83000,0
1,1,49,89000,0
0,0,49,58000,0
1,1,70,105000,1
0,1,75,102000,0
1,1,41,89000,1
1,1,23,237000,0
0,1,48,143000,0
0,0,80,131000,0
0,1,50,135000,0
1,0,62,167000,0
0,1,42,184000,0
1,0,38,177000,0
0,0,26,131000,0
1,1,48,213000,1
1,1,47,140000,0
1,1,85,202000,0
0,0,58,136000,0
1,0,30,194000,0
0,0,56,82000,0
0,0,47,161000,0
1,1,28,62000,1
1,0,61,188000,1
1,1,54,188000,1
1,1,61,82000,0
1,1,66,51000,1
1,1,73,218000,0
1,1,58,74000,0
1,0,44,54000,0
1,1,36,82000,0
1,1,61,47000,0
1,1,69,118000,1
1,1,28,186000,1
0,1,34,222000,0
1,1,25,45000,0
1,1,47,85000,0
1,1,42,93000,1
1,1,23,196000,1
1,0,57,171000,1
1,0,55,106000,0
1,1,51,136000,0
1,1,61,113000,1
0,0,23,70000,0
0,0,71,149000,0
0,1,70,28000,0
1,0,29,188000,0
0,0,33,177000,0
1,0,49,175000,0
0,0,57,163000,0
1,1,32,126000,0
1,0,49,113000,1
0,1,45,213000,1
1,1,28,109000,0
1,0,31,196000,1
0,1,39,147000,0
0,0,32,87000,0
1,1,33,234000,1
1,1,51,219000,1
1,1,57,157000,0
1,0,73,216000,1
0,1,49,144000,1
0,1,35,187000,1
1,1,67,188000,0
0,1,46,132000,0
1,0,67,85000,0
0,1,38,170000,0
0,1,54,72000,1
0,1,84,119000,1
0,1,23,63000,0
1,0,72,177000,1
1,1,63,162000,1
1,0,64,106000,0
1,1,80,45000,0
1,1,38,164000,0
0,1,79,28000,0
0,0,33,64000,0
0,1,53,153000,0
0,0,53,87000,0
1,0,23,86000,0
1,1,59,214000,0
0,1,36,94000,1
0,0,76,40000,0
1,0,73,37000,1
1,1,50,208000,1
1,1,24,98000,0
1,1,25,136000,0
1,1,46,102000,1
0,1,70,29000,0
1,1,24,137000,0
1,0,40,49000,0
1,0,85,172000,0
1,1,23,182000,1
1,0,32,145000,1
1,1,26,48000,1
0,1,35,186000,0
1,1,26,135000,1
1,1,74,171000,1
1,1,45,185000,1
1,1,54,60000,0
0,0,62,172000,0
0,1,57,36000,0
1,1,44,123000,0
1,1,36,177000,0
1,1,70,175000,0
0,1,80,106000,0
1,0,70,57000,0
0,1,58,172000,0
0,1,33,84000,1
0,1,52,220000,0
1,1,62,39000,0
0,0,37,31000,0
1,0,79,118000,0
1,1,38,165000,1
1,1,78,186000,1
1,1,68,91000,0
0,0,32,171000,0
0,0,36,193000,1
0,0,26,30000,0
0,0,42,58000,1
1,1,59,228000,1
1,1,73,32000,0
1,1,41,141000,0
0,1,50,31000,1
1,0,44,172000,1
0,1,32,211000,0
0,1,28,88000,1
0,1,26,158000,1
1,0,48,82000,0
1,1,82,100000,0
1,1,66,61000,0
1,0,75,176000,1
0,1,52,76000,0
0,0,71,75000,0
1,1,24,84000,1
0,1,54,68000,0
0,1,80,40000,0
1,0,57,118000,0
1,1,53,147000,1
0,0,77,204000,1
0,1,84,120000,1
1,1,47,96000,0
1,1,29,88000,0
0,1,23,215000,1
0,1,30,217000,1
1,0,80,192000,1
0,1,77,153000,0
1,0,71,181000,1
0,1,77,165000,1
1,0,75,194000,1
0,1,30,159000,1
0,1,66,47000,0
0,1,31,162000,0
1,1,54,153000,0
1,0,54,152000,0
0,1,73,69000,1
1,1,55,120000,0
0,0,67,195000,1
0,0,64,110000,1
0,0,67,146000,1
