Applicant,Edu_Parent1,Edu_Parent2,Sex,White,Asian,HSGPA,SAT_ACT,College,Admitted,Enrolled,College_GPA
1029,3,4,F,0,0,4.13,1170,Arts & Letters,Yes,No,
1032,6,6,M,1,0,4.3,1550,Arts & Letters,Yes,No,
1050,6,7,F,1,0,3.96,1420,Arts & Letters,Yes,No,
1051,3,6,F,1,0,4.04,1380,Arts & Letters,Yes,Yes,3.812
1061,6,7,F,1,0,3.38,1110,Arts & Letters,Yes,Yes,3.193
1063,6,7,F,1,0,3.23,1280,Arts & Letters,Yes,No,
1065,4,3,F,0,0,3.64,1270,Arts & Letters,Yes,No,
1082,6,4,F,1,0,4.19,1270,Arts & Letters,Yes,Yes,3.86
1089,7,6,F,1,0,4.18,1240,Arts & Letters,Yes,Yes,3.634
1094,4,4,M,0,0,3.5,1320,Arts & Letters,Yes,No,
1109,7,7,M,1,0,4.03,1270,Arts & Letters,Yes,No,
1125,7,7,F,1,0,3.76,1390,Arts & Letters,Yes,No,
1128,6,6,F,1,0,3.89,1480,Arts & Letters,Yes,No,
1131,3,4,F,1,0,3.6,1290,Arts & Letters,Yes,No,
1138,7,7,F,1,0,4.05,1350,Arts & Letters,Yes,No,
1141,6,4,M,1,0,4.17,1330,Arts & Letters,Yes,No,
1143,6,3,M,1,0,3.84,1150,Arts & Letters,Yes,No,
1147,7,7,F,0,1,3.77,1320,Arts & Letters,Yes,No,
1151,7,7,F,1,0,4.14,1260,Arts & Letters,Yes,Yes,3.486
1154,7,7,F,1,0,3.45,1210,Arts & Letters,Yes,No,
1180,6,6,M,1,0,4.25,1420,Arts & Letters,Yes,Yes,3.408
1186,6,6,M,0,1,3.59,1000,Arts & Letters,Yes,Yes,2.287
1189,4,3,M,0,0,3.89,1240,Arts & Letters,Yes,No,
1193,7,7,F,1,0,3.81,1290,Arts & Letters,Yes,Yes,3.29
1194,3,6,F,1,0,3.54,1010,Arts & Letters,Yes,No,
1216,7,6,F,1,0,4.36,1550,Arts & Letters,Yes,No,
1217,6,6,M,1,0,3.91,1380,Arts & Letters,Yes,Yes,3.221
1229,6,6,F,1,0,4,1190,Arts & Letters,Yes,Yes,3.007
1235,7,5,M,0,0,3.58,1380,Arts & Letters,Yes,No,
1238,4,4,F,1,0,3.95,1260,Arts & Letters,Yes,Yes,1.742
1245,1,3,M,0,0,4.04,950,Arts & Letters,Yes,No,
1251,6,6,F,1,0,3.59,1230,Arts & Letters,Yes,No,
1261,6,7,M,0,0,4.05,1350,Arts & Letters,Yes,No,
1268,4,6,F,1,0,4.27,1300,Arts & Letters,Yes,No,
1272,2,3,F,0,0,3.67,870,Arts & Letters,Yes,No,
1290,6,6,M,1,0,3.8,1220,Arts & Letters,Yes,No,
1294,4,4,F,0,1,3.7,890,Arts & Letters,Yes,Yes,2.878
1300,7,7,F,1,0,3.58,1250,Arts & Letters,Yes,Yes,3.299
1303,6,6,F,1,0,3.84,1190,Arts & Letters,Yes,No,
1322,6,6,F,1,0,3.79,1200,Arts & Letters,Yes,Yes,3.587
1329,1,5,M,0,0,3.54,1000,Arts & Letters,Yes,No,
1330,2,2,M,0,1,4.32,1380,Arts & Letters,Yes,No,
1343,3,2,F,0,0,4,1210,Arts & Letters,Yes,No,
1355,6,6,F,1,0,4.27,1510,Arts & Letters,Yes,No,
1356,2,2,F,0,0,3.8,960,Arts & Letters,Yes,No,
1381,3,3,F,1,0,3.52,1080,Arts & Letters,Yes,Yes,2.777
1383,6,4,M,0,0,3.86,1170,Arts & Letters,Yes,Yes,2.909
1392,6,7,F,1,0,4.08,1440,Arts & Letters,Yes,No,
1393,3,7,F,1,0,4.1,1430,Arts & Letters,Yes,No,
1403,4,7,F,1,0,4.24,1460,Arts & Letters,Yes,Yes,3.174
1410,5,4,F,0,0,3.6,1270,Arts & Letters,Yes,No,
1418,6,6,F,1,0,3.71,1150,Arts & Letters,Yes,Yes,3.258
1436,6,4,F,1,0,4.17,1300,Arts & Letters,Yes,Yes,3.465
1437,6,6,F,1,0,3.89,1300,Arts & Letters,Yes,No,
1438,6,6,M,1,0,3.08,1190,Arts & Letters,Yes,Yes,3.51
1439,4,6,M,1,0,3.75,1240,Arts & Letters,Yes,No,
1441,7,7,F,1,0,4.25,1340,Arts & Letters,Yes,No,
1450,7,7,M,1,0,3.32,1260,Arts & Letters,Yes,Yes,2.569
1482,7,6,M,1,0,3.79,1340,Arts & Letters,Yes,Yes,3.604
1486,6,6,F,1,0,4.2,1280,Arts & Letters,Yes,Yes,3.542
1499,6,7,M,1,0,4,1360,Arts & Letters,Yes,No,
1522,7,7,M,1,0,3.4,1350,Arts & Letters,Yes,Yes,2.544
1524,7,7,M,1,0,3.94,1440,Arts & Letters,Yes,No,
1532,5,7,M,1,0,4.05,1160,Arts & Letters,Yes,No,
1545,4,4,F,1,0,3.73,1200,Arts & Letters,Yes,No,
1555,6,6,F,1,0,4.1,1210,Arts & Letters,Yes,No,
1572,6,6,M,1,0,3.45,1210,Arts & Letters,Yes,No,
1592,6,6,F,1,0,3.22,1180,Arts & Letters,Yes,No,
1613,6,6,F,1,0,4.14,1460,Arts & Letters,Yes,No,
1615,6,3,F,0,0,4.08,1370,Arts & Letters,Yes,Yes,3.332
1624,1,1,M,0,1,3.77,1100,Arts & Letters,Yes,Yes,2.928
1633,6,7,F,0,0,4.36,1400,Arts & Letters,Yes,No,
1634,6,6,F,1,0,3.54,1110,Arts & Letters,Yes,Yes,2.744
1646,4,3,M,0,0,3.55,1160,Arts & Letters,Yes,Yes,2.725
1648,4,6,F,1,0,4.33,1260,Arts & Letters,Yes,Yes,3.471
1658,5,5,M,1,0,4.27,1440,Arts & Letters,Yes,No,
1671,3,3,M,0,0,4.23,1280,Arts & Letters,Yes,No,
1674,4,7,F,1,0,4.22,1400,Arts & Letters,Yes,No,
1675,6,7,F,0,0,3.68,1370,Arts & Letters,Yes,No,
1676,6,7,F,1,0,3.77,1140,Arts & Letters,Yes,Yes,3.517
1698,2,2,M,0,1,3.45,1220,Arts & Letters,Yes,Yes,3.021
1710,4,6,F,1,0,4,1360,Arts & Letters,Yes,No,
1721,7,7,F,0,0,4.2,1380,Arts & Letters,Yes,Yes,3.265
1725,4,4,F,1,0,4,1250,Arts & Letters,Yes,Yes,3.725
1730,4,5,F,0,0,3.52,1410,Arts & Letters,Yes,Yes,3.465
1731,6,4,F,1,0,4.04,1210,Arts & Letters,Yes,No,
1751,6,6,F,1,0,4.27,1340,Arts & Letters,Yes,No,
1763,4,5,F,1,0,4.32,1320,Arts & Letters,Yes,No,
1766,4,7,F,1,0,4.09,1280,Arts & Letters,Yes,No,
1774,6,6,F,1,0,3.68,1330,Arts & Letters,Yes,Yes,3.468
1784,1,1,M,0,0,4,870,Arts & Letters,Yes,No,
1788,7,7,F,1,0,4.08,1450,Arts & Letters,Yes,No,
1797,7,6,M,0,0,3.65,1310,Arts & Letters,Yes,Yes,2.984
1798,6,7,M,1,0,4.33,1420,Arts & Letters,Yes,No,
1808,6,6,F,0,0,4.35,1460,Arts & Letters,Yes,No,
1819,4,6,F,0,0,3.63,1290,Arts & Letters,Yes,No,
1826,6,6,F,1,0,4.1,1300,Arts & Letters,Yes,Yes,3.817
1862,7,7,M,1,0,3.95,1530,Arts & Letters,Yes,No,
1895,7,7,M,1,0,4.36,1380,Arts & Letters,Yes,No,
1896,7,7,F,1,0,4.08,1360,Arts & Letters,Yes,No,
1909,6,3,F,0,0,4,1470,Arts & Letters,Yes,No,
1926,4,5,M,0,0,4.14,1310,Arts & Letters,Yes,Yes,3.799
1945,7,6,M,1,0,4.15,1310,Arts & Letters,Yes,No,
1947,6,6,F,1,0,3.36,1300,Arts & Letters,Yes,No,
1956,4,4,F,1,0,3.9,1100,Arts & Letters,Yes,Yes,2.857
1983,2,1,M,0,0,4.12,1170,Arts & Letters,Yes,No,
1987,5,7,M,1,0,4.22,1310,Arts & Letters,Yes,No,
1995,7,6,M,0,0,4.17,1340,Arts & Letters,Yes,No,
1998,6,6,M,1,0,4.4,1470,Arts & Letters,Yes,No,
2005,5,6,F,1,0,4.3,1470,Arts & Letters,Yes,No,
2008,2,2,F,0,0,3.5,1180,Arts & Letters,Yes,No,
2009,1,1,F,0,0,4.05,1180,Arts & Letters,Yes,No,
2013,6,7,F,1,0,4.19,1470,Arts & Letters,Yes,No,
2016,6,6,F,1,0,3.77,1130,Arts & Letters,Yes,Yes,3.29
2017,7,6,F,1,0,3.95,1270,Arts & Letters,Yes,No,
2021,6,6,F,1,0,3.5,1260,Arts & Letters,Yes,Yes,3.106
2033,4,6,F,1,0,3.53,1310,Arts & Letters,Yes,No,
2057,6,6,F,0,0,3.69,1250,Arts & Letters,Yes,No,
2063,5,4,F,0,0,3.3,1100,Arts & Letters,Yes,Yes,2.462
2067,6,4,F,1,0,3.6,1190,Arts & Letters,Yes,Yes,2.013
2072,4,7,F,1,0,4.27,1130,Arts & Letters,Yes,No,
2079,6,6,F,1,0,4.25,1350,Arts & Letters,Yes,No,
2091,1,1,F,0,0,3.35,910,Arts & Letters,Yes,No,
2107,4,7,F,1,0,4.12,1290,Arts & Letters,Yes,No,
2108,6,6,M,1,0,3.96,1400,Arts & Letters,Yes,No,
2110,3,4,M,0,0,3.73,1320,Arts & Letters,Yes,No,
2124,7,6,F,1,0,4.15,1360,Arts & Letters,Yes,No,
2125,7,7,F,1,0,4.15,1430,Arts & Letters,Yes,No,
2134,7,5,F,1,0,3.64,1140,Arts & Letters,Yes,No,
2135,7,6,F,0,0,3.78,1290,Arts & Letters,Yes,Yes,3.689
2137,7,6,F,1,0,4.27,1480,Arts & Letters,Yes,No,
2146,6,7,M,1,0,4.33,1260,Arts & Letters,Yes,No,
2148,5,7,M,0,0,3.32,1210,Arts & Letters,Yes,No,
2157,6,7,F,1,0,4.14,1130,Arts & Letters,Yes,No,
2158,6,6,F,1,0,3.64,1120,Arts & Letters,Yes,No,
2167,1,1,F,0,0,3.55,1060,Arts & Letters,Yes,No,
2195,3,5,M,0,0,3.55,1170,Arts & Letters,Yes,No,
2200,3,4,F,1,0,3.95,1130,Arts & Letters,Yes,No,
2209,6,6,F,1,0,3.59,1180,Arts & Letters,Yes,No,
2212,6,6,M,0,0,4.15,1270,Arts & Letters,Yes,No,
2215,5,6,F,1,0,4.21,1400,Arts & Letters,Yes,Yes,3.67
2227,6,4,F,1,0,4.05,1420,Arts & Letters,Yes,No,
2237,6,4,M,1,0,3.95,1200,Arts & Letters,Yes,Yes,3.32
2253,7,7,F,1,0,3.85,1410,Arts & Letters,Yes,Yes,3.204
2255,5,6,M,0,1,4.05,1250,Arts & Letters,Yes,No,
2288,7,7,M,1,0,3.57,1230,Arts & Letters,Yes,No,
2291,6,6,F,1,0,3.77,1320,Arts & Letters,Yes,No,
2298,6,6,F,1,0,3.48,1160,Arts & Letters,Yes,Yes,2.776
2301,6,6,F,1,0,3.96,1420,Arts & Letters,Yes,Yes,3.905
2302,7,6,F,1,0,4.08,1200,Arts & Letters,Yes,No,
2320,6,6,F,1,0,4,1320,Arts & Letters,Yes,No,
2324,6,6,F,1,0,4,950,Arts & Letters,Yes,No,
2333,3,3,F,0,0,3.65,1260,Arts & Letters,Yes,No,
2345,6,6,F,1,0,3.77,1350,Arts & Letters,Yes,No,
2358,2,3,F,0,0,3.46,1170,Arts & Letters,Yes,No,
2363,7,5,F,1,0,3.96,1100,Arts & Letters,Yes,No,
2373,3,3,F,1,0,4.33,1330,Arts & Letters,Yes,No,
2382,5,6,M,1,0,4.18,1180,Arts & Letters,Yes,No,
2384,6,6,F,1,0,3.91,1300,Arts & Letters,Yes,No,
2399,6,6,F,1,0,3.15,1360,Arts & Letters,Yes,No,
2427,7,4,F,1,0,4.33,1270,Arts & Letters,Yes,No,
2453,5,3,M,0,0,3.57,1270,Arts & Letters,Yes,No,
2472,4,6,F,1,0,4,1150,Arts & Letters,Yes,No,
2477,6,7,M,1,0,3.95,1200,Arts & Letters,Yes,No,
2482,7,6,F,1,0,3.62,1270,Arts & Letters,Yes,No,
2488,6,6,F,0,1,3.92,1560,Arts & Letters,Yes,No,
2507,3,4,F,1,0,4.23,1530,Arts & Letters,Yes,No,
2510,7,7,F,0,0,4.23,1400,Arts & Letters,Yes,No,
2517,7,5,F,0,0,4.1,1360,Arts & Letters,Yes,No,
2520,6,6,F,1,0,3.91,1310,Arts & Letters,Yes,No,
2540,7,6,M,1,0,3.54,1250,Arts & Letters,Yes,No,
2543,5,3,F,1,0,3.5,1150,Arts & Letters,Yes,No,
2564,6,6,F,0,1,3.91,1420,Arts & Letters,Yes,No,
2578,6,7,F,1,0,3.45,1280,Arts & Letters,Yes,Yes,3.296
2585,6,4,F,0,0,3.85,1070,Arts & Letters,Yes,No,
2587,7,5,F,0,0,4.27,1470,Arts & Letters,Yes,No,
2594,7,7,F,1,0,4.05,1480,Arts & Letters,Yes,No,
2600,4,3,F,1,0,4.12,1340,Arts & Letters,Yes,Yes,3.425
2606,7,6,F,1,0,3.93,1430,Arts & Letters,Yes,No,
2607,6,7,F,1,0,4.08,1390,Arts & Letters,Yes,No,
2612,7,4,F,1,0,4.1,1290,Arts & Letters,Yes,No,
2633,7,6,F,0,0,3.54,1170,Arts & Letters,Yes,No,
2640,6,6,F,0,1,4.08,1310,Arts & Letters,Yes,No,
2647,4,5,F,0,0,4.19,1180,Arts & Letters,Yes,No,
2651,5,4,M,1,0,3.82,1060,Arts & Letters,Yes,No,
2662,7,7,F,0,0,4,1360,Arts & Letters,Yes,No,
2664,7,7,M,1,0,3.68,1110,Arts & Letters,Yes,No,
2682,7,4,F,1,0,4.17,1400,Arts & Letters,Yes,No,
2684,7,6,F,1,0,3.5,1410,Arts & Letters,Yes,No,
2691,6,6,F,1,0,4.36,1220,Arts & Letters,Yes,Yes,3.465
2702,3,6,F,1,0,3.82,1210,Arts & Letters,Yes,No,
2708,3,3,F,1,0,4,1400,Arts & Letters,Yes,No,
2712,5,3,F,0,0,4.02,1310,Arts & Letters,Yes,No,
2716,1,1,M,0,0,4.15,1030,Arts & Letters,Yes,No,
2722,6,6,M,1,0,3.33,1170,Arts & Letters,Yes,Yes,2.911
2726,6,7,M,0,0,4.33,1530,Arts & Letters,Yes,No,
2735,1,1,F,0,0,4.22,970,Arts & Letters,Yes,No,
2743,7,7,M,1,0,4.09,1330,Arts & Letters,Yes,No,
2745,6,4,M,1,0,3.73,1340,Arts & Letters,Yes,No,
2746,6,5,F,0,0,3.71,1050,Arts & Letters,Yes,Yes,3.74
2748,7,6,F,0,0,4.08,1350,Arts & Letters,Yes,Yes,3.82
2757,6,6,F,1,0,4.04,1330,Arts & Letters,Yes,No,
2759,6,7,F,1,0,3.75,1460,Arts & Letters,Yes,No,
2766,7,6,M,1,0,3.64,1280,Arts & Letters,Yes,Yes,3.299
2774,7,7,F,1,0,3.73,1270,Arts & Letters,Yes,No,
2776,5,5,F,0,0,3.33,1070,Arts & Letters,Yes,No,
2777,7,7,F,1,0,4.18,1430,Arts & Letters,Yes,No,
2780,6,6,F,1,0,3.62,1320,Arts & Letters,Yes,No,
2803,6,6,F,0,1,3.95,1390,Arts & Letters,Yes,No,
2828,7,7,F,1,0,3.8,1320,Arts & Letters,Yes,Yes,3.308
2832,3,3,F,0,0,3.15,1320,Arts & Letters,Yes,No,
2856,6,5,F,1,0,4.2,1220,Arts & Letters,Yes,No,
2861,7,7,F,1,0,3.58,1260,Arts & Letters,Yes,No,
2864,7,7,F,1,0,3.32,1210,Arts & Letters,Yes,Yes,2.93
2892,7,6,F,0,0,3.43,1250,Arts & Letters,Yes,No,
2896,6,7,M,1,0,3.8,1340,Arts & Letters,Yes,Yes,2.392
2928,7,7,F,1,0,4,1380,Arts & Letters,Yes,No,
2934,7,7,M,1,0,3.35,1200,Arts & Letters,Yes,No,
2936,4,6,F,1,0,3.6,1230,Arts & Letters,Yes,Yes,2.683
2944,6,6,F,0,0,4.05,1310,Arts & Letters,Yes,No,
2946,4,7,M,0,0,4.04,1250,Arts & Letters,Yes,No,
2956,7,7,F,0,0,4.36,1450,Arts & Letters,Yes,Yes,3.972
3003,6,5,F,1,0,4.03,1310,Arts & Letters,Yes,No,
3034,7,7,F,1,0,3.77,1350,Arts & Letters,Yes,No,
3038,6,4,F,1,0,3.41,1250,Arts & Letters,Yes,Yes,3.601
3050,3,6,F,1,0,3.9,1170,Arts & Letters,Yes,No,
3056,6,7,F,1,0,4.05,1260,Arts & Letters,Yes,No,
3063,6,6,F,1,0,3.95,1070,Arts & Letters,Yes,No,
3092,6,4,F,1,0,3.81,1210,Arts & Letters,Yes,Yes,3.215
3095,6,6,F,1,0,3.33,1290,Arts & Letters,Yes,No,
3098,6,7,F,1,0,3.82,1320,Arts & Letters,Yes,Yes,3.584
3114,6,7,F,1,0,4.22,1120,Arts & Letters,Yes,No,
3115,6,7,F,1,0,4.04,1350,Arts & Letters,Yes,Yes,3.658
3120,7,7,F,1,0,4.2,1440,Arts & Letters,Yes,No,
3121,7,7,M,1,0,4.05,1310,Arts & Letters,Yes,No,
3131,3,3,F,1,0,4,1510,Arts & Letters,Yes,No,
3140,7,7,F,1,0,3.92,1380,Arts & Letters,Yes,No,
3143,6,6,F,1,0,3.88,1320,Arts & Letters,Yes,Yes,3.57
3145,6,6,F,0,0,3.65,1060,Arts & Letters,Yes,No,
3146,7,7,F,1,0,3.92,1030,Arts & Letters,Yes,No,
3163,7,7,F,1,0,4.36,1350,Arts & Letters,Yes,No,
3181,4,6,F,0,0,3.68,1170,Arts & Letters,Yes,No,
3197,6,4,F,1,0,2.85,1110,Arts & Letters,Yes,Yes,2.255
3240,6,7,F,1,0,4.07,1110,Arts & Letters,Yes,No,
3258,6,7,F,1,0,4.08,1290,Arts & Letters,Yes,No,
3261,6,6,M,0,1,4.3,1190,Arts & Letters,Yes,No,
3270,7,5,M,1,0,4.09,1310,Arts & Letters,Yes,Yes,4
3273,7,6,F,1,0,3.5,1340,Arts & Letters,Yes,No,
3274,7,6,F,1,0,4.09,1290,Arts & Letters,Yes,No,
3276,6,6,F,0,0,4.33,1240,Arts & Letters,Yes,No,
3277,4,1,F,0,0,3.4,1110,Arts & Letters,Yes,No,
3295,7,7,M,0,0,4.23,1240,Arts & Letters,Yes,Yes,3.673
3302,7,5,F,1,0,3.64,1140,Arts & Letters,Yes,No,
3303,6,6,F,1,0,3.3,1070,Arts & Letters,Yes,Yes,2.623
3327,6,6,F,1,0,3.77,1280,Arts & Letters,Yes,No,
3341,7,7,F,1,0,4.21,1180,Arts & Letters,Yes,Yes,3.306
3342,6,6,F,1,0,3.7,1160,Arts & Letters,Yes,No,
3347,6,3,F,1,0,3.67,1140,Arts & Letters,Yes,No,
3349,6,4,F,1,0,4.17,1270,Arts & Letters,Yes,No,
3361,7,7,F,1,0,4.36,1420,Arts & Letters,Yes,No,
3364,4,4,F,1,0,3.73,1340,Arts & Letters,Yes,No,
3377,6,6,F,1,0,3.35,1100,Arts & Letters,Yes,No,
3385,4,6,F,1,0,3.73,1180,Arts & Letters,Yes,Yes,3.236
3386,2,3,F,0,0,3.86,1090,Arts & Letters,Yes,No,
3389,6,6,F,1,0,3.89,1440,Arts & Letters,Yes,No,
3395,7,7,F,1,0,3.92,1230,Arts & Letters,Yes,Yes,3.372
3397,7,4,M,1,0,3.35,1410,Arts & Letters,Yes,No,
3437,7,7,M,1,0,4.1,1580,Arts & Letters,Yes,No,
3468,2,2,M,0,0,3.91,970,Arts & Letters,Yes,No,
3476,7,6,F,1,0,3.7,1310,Arts & Letters,Yes,No,
3478,7,7,F,1,0,4.05,1420,Arts & Letters,Yes,No,
3498,6,4,F,1,0,3.29,1040,Arts & Letters,Yes,Yes,2.467
3508,7,6,F,1,0,3.09,1500,Arts & Letters,Yes,No,
3512,6,6,M,1,0,3.68,1530,Arts & Letters,Yes,No,
3521,6,7,F,1,0,3.21,1310,Arts & Letters,Yes,Yes,2.413
3584,4,6,F,1,0,4.14,1220,Arts & Letters,Yes,Yes,3.417
3589,6,4,F,1,0,3.75,1110,Arts & Letters,Yes,No,
3601,6,7,M,0,0,4.17,1550,Arts & Letters,Yes,No,
3626,7,7,F,0,0,4.1,1190,Arts & Letters,Yes,No,
3638,7,6,F,1,0,3.64,1240,Arts & Letters,Yes,Yes,3.421
3645,6,5,F,0,0,3.68,1130,Arts & Letters,Yes,No,
3655,7,7,F,1,0,4.29,1470,Arts & Letters,Yes,No,
3668,6,6,F,1,0,3.62,1260,Arts & Letters,Yes,No,
